Date,Competition,Home Team,Away Team,Home Goals,Away Goals,Possession % (Home),Possession % (Away),Shots (Home),Shots (Away),Corners (Home),Corners (Away),Fouls (Home),Fouls (Away),Winner,Year
2015-12-12,La Liga,Barcelona,AC Milan,3,1,44,52,15,20,7,2,12,15,Away Team,2021
2022-07-20,La Liga,Barcelona,Bayern Munich,0,5,52,42,23,19,4,10,13,7,Away Team,2015
2021-03-08,La Liga,Manchester City,Bayern Munich,2,5,55,58,18,16,5,9,7,10,Home Team,2016
2022-12-08,Bundesliga,Bayern Munich,Man City,5,1,63,40,8,12,2,3,15,8,Away Team,2017
2016-08-24,Bundesliga,Barcelona,Juventus,0,1,41,57,9,12,4,7,11,9,Away Team,2015
2022-06-07,Serie A,Barcelona,AC Milan,1,5,41,41,20,21,6,9,11,6,Home Team,2020
2019-04-17,Bundesliga,Bayern Munich,Bayern Munich,0,1,60,43,24,24,9,7,14,7,Away Team,2015
2020-11-10,La Liga,Barcelona,Arsenal,5,4,61,51,23,16,3,10,14,12,Home Team,2023
2023-12-25,Premier League,Chelsea,Arsenal,1,2,67,40,25,12,2,6,11,10,Home Team,2021
2015-05-01,La Liga,Bayern Munich,Man City,5,4,67,59,11,11,5,10,7,8,Draw,2023
2025-10-24,Serie A,Juventus,Bayern Munich,2,5,49,53,13,5,9,6,5,5,Home Team,2016
2021-05-24,Serie A,AC Milan,Borussia Dortmund,1,1,48,51,15,17,2,4,12,11,Home Team,2017
2021-12-27,Premier League,Chelsea,Arsenal,3,1,61,51,10,15,10,5,6,8,Away Team,2018
2016-07-10,La Liga,Manchester City,Barcelona,1,1,62,58,11,23,6,2,13,12,Home Team,2025
2016-06-06,Premier League,Manchester City,Chelsea,3,1,60,46,19,9,8,3,11,15,Away Team,2021
2025-03-30,UEFA Champions League,Chelsea,Juventus,2,5,70,35,22,9,8,5,15,5,Home Team,2016
2021-04-17,Bundesliga,Chelsea,Arsenal,1,2,69,45,16,16,3,2,10,15,Home Team,2025
2020-10-06,La Liga,Chelsea,Man City,5,0,65,32,23,17,2,9,10,15,Away Team,2016
2019-03-17,La Liga,Real Madrid,Juventus,1,4,56,31,11,19,3,8,15,7,Away Team,2020
2016-04-25,La Liga,Chelsea,Barcelona,5,2,56,38,18,18,10,4,9,8,Away Team,2025
2020-03-28,La Liga,Juventus,Borussia Dortmund,0,5,64,53,22,11,8,3,11,5,Away Team,2019
2025-01-25,UEFA Champions League,Arsenal,Liverpool,3,2,56,37,21,8,3,3,11,11,Home Team,2021
2018-01-18,La Liga,Manchester City,Bayern Munich,1,3,54,40,19,6,2,10,6,8,Home Team,2024
2021-11-04,La Liga,Liverpool,Arsenal,3,2,42,31,25,23,9,4,13,5,Home Team,2018
2025-09-19,UEFA Champions League,Barcelona,Chelsea,2,0,60,45,10,16,8,5,6,7,Home Team,2021
2019-09-10,La Liga,Real Madrid,Paris Saint-Germain,1,0,63,56,23,14,9,6,9,5,Away Team,2018
2025-11-15,Premier League,PSG,Paris Saint-Germain,4,0,70,32,6,11,8,8,5,12,Away Team,2023
2020-07-22,Premier League,Bayern Munich,Borussia Dortmund,5,4,67,48,14,19,7,9,7,9,Draw,2016
2015-02-28,Bundesliga,Bayern Munich,Liverpool,3,0,66,51,11,10,9,2,10,5,Draw,2015
2024-12-14,Premier League,Real Madrid,Bayern Munich,5,5,45,31,11,21,10,7,11,11,Away Team,2023
2015-07-25,Serie A,Real Madrid,AC Milan,5,5,59,49,5,9,4,9,12,10,Home Team,2025
2018-08-15,Premier League,Juventus,Man City,2,4,40,49,16,9,7,3,12,8,Away Team,2015
2017-09-02,La Liga,Arsenal,AC Milan,5,1,64,30,18,9,10,8,12,11,Away Team,2016
2024-08-17,Serie A,PSG,Paris Saint-Germain,0,1,54,57,7,15,10,4,5,5,Draw,2025
2020-04-03,La Liga,AC Milan,Juventus,4,4,52,47,19,19,4,6,10,5,Draw,2025
2024-04-16,UEFA Champions League,Liverpool,Man City,2,5,63,50,23,15,4,5,7,13,Draw,2016
2019-01-20,Serie A,Chelsea,Juventus,1,1,59,39,19,17,5,10,5,7,Away Team,2016
2016-05-06,UEFA Champions League,Juventus,Barcelona,2,2,69,39,20,13,9,3,5,8,Away Team,2019
2020-08-24,La Liga,Manchester City,AC Milan,3,4,59,42,7,23,4,4,12,10,Draw,2020
2022-03-16,Serie A,Real Madrid,Bayern Munich,0,1,64,48,17,16,7,4,7,7,Draw,2021
2024-01-22,Bundesliga,Barcelona,Man City,3,0,68,39,11,8,3,9,10,7,Draw,2016
2021-06-13,Premier League,Barcelona,Borussia Dortmund,0,5,44,30,22,6,8,10,9,6,Away Team,2022
2025-04-07,Premier League,Arsenal,Bayern Munich,1,4,54,33,16,10,7,3,7,14,Draw,2022
2019-07-07,Serie A,Chelsea,Arsenal,1,1,65,58,21,5,8,5,10,7,Away Team,2015
2015-04-11,UEFA Champions League,Arsenal,AC Milan,0,1,41,42,21,25,9,8,13,15,Home Team,2024
2023-04-28,Bundesliga,Barcelona,Borussia Dortmund,2,3,67,47,9,13,4,5,13,7,Away Team,2023
2021-11-17,Bundesliga,Liverpool,Arsenal,5,4,42,40,17,21,8,7,11,9,Home Team,2018
2021-08-20,Bundesliga,Real Madrid,AC Milan,5,4,48,60,6,11,9,9,7,7,Draw,2023
2020-09-22,La Liga,Liverpool,Juventus,5,3,61,35,8,20,8,2,6,11,Draw,2017
2021-10-10,Premier League,Manchester City,Chelsea,0,5,69,53,13,5,7,7,9,8,Away Team,2023
2019-12-10,Serie A,AC Milan,Liverpool,3,0,59,55,8,5,8,7,13,12,Draw,2018
2016-08-24,UEFA Champions League,PSG,Liverpool,4,1,42,37,13,16,6,9,10,6,Home Team,2021
2023-06-22,La Liga,Arsenal,Chelsea,2,5,41,58,18,20,2,9,15,15,Draw,2024
2016-09-30,UEFA Champions League,PSG,Liverpool,2,0,43,53,9,18,4,2,14,8,Away Team,2022
2018-04-28,Bundesliga,Arsenal,Borussia Dortmund,0,3,70,40,8,10,10,9,9,7,Draw,2022
2019-11-15,La Liga,Bayern Munich,Chelsea,3,2,62,30,9,25,6,7,11,12,Home Team,2024
2017-09-28,La Liga,Arsenal,Juventus,2,0,54,32,14,21,9,8,13,13,Draw,2015
2022-01-16,Serie A,Liverpool,Juventus,1,0,65,60,13,10,10,7,12,10,Home Team,2021
2016-01-22,Bundesliga,Barcelona,Chelsea,4,4,64,51,15,25,5,10,5,15,Home Team,2018
2016-03-01,La Liga,Real Madrid,Juventus,1,3,43,56,8,19,9,3,13,15,Draw,2015
2017-05-31,Premier League,Arsenal,Man City,2,3,65,55,17,19,10,6,7,14,Home Team,2023
2023-10-31,La Liga,Manchester City,Paris Saint-Germain,2,3,51,49,11,7,7,8,8,10,Home Team,2016
2021-08-01,UEFA Champions League,Bayern Munich,AC Milan,3,0,65,38,6,24,4,2,6,15,Away Team,2016
2019-07-17,Serie A,Manchester City,Borussia Dortmund,0,4,63,56,8,12,2,5,9,13,Draw,2015
2020-01-21,UEFA Champions League,Liverpool,Borussia Dortmund,0,0,65,56,21,19,8,6,6,8,Home Team,2018
2020-01-26,Premier League,PSG,Chelsea,2,1,45,55,22,8,4,7,11,7,Away Team,2018
2024-03-11,Serie A,Bayern Munich,Man City,4,1,49,46,8,12,4,5,15,9,Home Team,2017
2023-02-19,La Liga,Real Madrid,Liverpool,2,3,47,39,25,10,8,3,11,10,Away Team,2025
2018-01-09,Serie A,Barcelona,Arsenal,3,2,62,43,11,24,7,6,10,11,Home Team,2018
2022-11-22,Premier League,AC Milan,Juventus,2,3,59,47,5,24,8,4,13,13,Away Team,2022
2018-12-20,UEFA Champions League,Real Madrid,Juventus,3,3,70,35,25,7,3,3,14,12,Home Team,2016
2024-06-23,UEFA Champions League,Juventus,Barcelona,4,3,40,46,5,20,2,6,8,13,Draw,2019
2024-01-30,Serie A,AC Milan,Man City,2,3,58,30,23,8,7,7,12,14,Home Team,2018
2015-07-23,Premier League,Liverpool,Chelsea,0,1,67,60,21,18,5,7,12,6,Away Team,2017
2016-04-22,Premier League,Bayern Munich,Borussia Dortmund,1,4,64,41,5,13,5,3,10,5,Home Team,2016
2017-07-03,Premier League,Real Madrid,Borussia Dortmund,2,2,49,39,15,10,7,2,6,8,Home Team,2022
2016-02-25,Serie A,Manchester City,Bayern Munich,1,4,51,54,14,12,5,9,9,8,Away Team,2019
2024-12-08,UEFA Champions League,Bayern Munich,Chelsea,3,1,70,36,20,11,3,2,8,6,Home Team,2023
2025-12-25,Bundesliga,Chelsea,Paris Saint-Germain,4,0,60,47,8,18,4,9,15,14,Home Team,2016
2017-07-03,Serie A,Juventus,Man City,1,3,69,52,10,22,4,3,13,8,Draw,2017
2018-04-03,UEFA Champions League,PSG,Arsenal,2,2,46,33,18,17,10,6,12,8,Away Team,2021
2016-11-04,Premier League,Real Madrid,Arsenal,3,0,45,37,12,17,7,10,12,6,Home Team,2021
2024-07-23,La Liga,Chelsea,Borussia Dortmund,4,4,61,51,22,10,2,3,10,7,Draw,2018
2019-03-18,Bundesliga,Liverpool,Barcelona,3,2,49,37,13,21,6,6,9,9,Away Team,2015
2020-11-09,La Liga,Real Madrid,Bayern Munich,0,0,58,33,11,20,5,8,12,5,Home Team,2017
2020-10-29,Serie A,Arsenal,Arsenal,5,4,67,43,12,14,5,10,14,6,Draw,2021
2021-02-21,UEFA Champions League,Chelsea,Borussia Dortmund,3,5,59,60,22,14,6,2,5,8,Away Team,2022
2016-09-30,Bundesliga,Manchester City,Arsenal,3,5,58,57,5,6,4,6,15,5,Draw,2021
2022-10-22,UEFA Champions League,Chelsea,Paris Saint-Germain,5,0,46,44,23,10,4,7,11,15,Home Team,2022
2017-01-14,Premier League,Real Madrid,Bayern Munich,5,5,44,46,19,11,10,4,12,5,Draw,2019
2021-07-18,Bundesliga,Manchester City,Liverpool,5,0,49,45,15,21,8,2,9,10,Home Team,2021
2024-11-28,La Liga,Barcelona,Bayern Munich,0,1,44,44,10,24,6,6,5,13,Away Team,2021
2017-09-28,Bundesliga,Barcelona,Liverpool,1,1,45,39,14,23,3,10,13,15,Home Team,2023
2016-06-12,Serie A,Liverpool,Paris Saint-Germain,4,0,59,57,23,16,7,8,9,8,Draw,2021
2025-01-04,Bundesliga,Chelsea,Bayern Munich,0,2,63,42,25,25,8,3,9,12,Away Team,2021
2018-02-04,Serie A,Bayern Munich,Barcelona,3,1,56,36,9,20,8,2,13,12,Draw,2022
2020-01-15,La Liga,Bayern Munich,Liverpool,5,5,66,36,24,9,9,4,11,13,Home Team,2025
2025-12-25,Premier League,AC Milan,Barcelona,0,4,48,38,18,25,9,3,9,8,Home Team,2021
2024-01-22,UEFA Champions League,Juventus,Barcelona,1,4,57,60,22,9,7,9,14,12,Home Team,2017
2020-01-13,Premier League,AC Milan,Chelsea,1,4,66,37,9,18,5,6,9,12,Home Team,2025
2024-10-02,Serie A,Arsenal,Arsenal,2,5,59,56,6,16,3,9,6,8,Home Team,2023
2016-02-23,Premier League,Bayern Munich,Chelsea,0,3,57,59,13,6,8,5,9,7,Home Team,2017
